Indicator Sequence,Parent Sequence,Agency Name,Indicator Name,Description,Category,Frequency,Desired Change,Indicator Unit,Decimal Places,Period Year,Period Month,YTD Target,YTD Actual,Monthly Target,Monthly Actual,Period
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2008,1,0.75,0.54,0.75,0.54,2008-01
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2008,2,0.89,0.75,1.02,0.98,2008-02
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2008,3,0.9,0.77,0.92,0.8,2008-03
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2008,4,0.97,0.79,1.2,0.84,2008-04
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2008,5,0.99,0.94,1.08,1.49,2008-05
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2008,6,1.03,0.94,1.18,0.97,2008-06
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2008,7,1.07,0.98,1.35,1.19,2008-07
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2008,8,1.09,0.97,1.2,0.91,2008-08
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2008,9,1.09,0.97,1.15,1.02,2008-09
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2008,10,1.09,0.98,1.02,0.99,2008-10
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2008,11,1.07,0.96,0.89,0.8,2008-11
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2008,12,1.07,0.95,1.06,0.83,2008-12
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2009,1,0.61,0.58,0.61,0.58,2009-01
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2009,2,0.74,0.57,0.87,0.56,2009-02
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2009,3,0.75,0.68,0.76,0.86,2009-03
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2009,4,0.8,0.74,0.94,0.93,2009-04
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2009,5,0.84,0.76,1.02,0.81,2009-05
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2009,6,0.85,0.82,0.92,1.12,2009-06
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2009,7,0.88,0.93,1.07,1.53,2009-07
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2009,8,0.9,0.95,1,1.04,2009-08
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2009,9,0.91,0.93,1,0.85,2009-09
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2009,10,0.9,0.97,0.86,1.31,2009-10
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2009,11,0.9,0.96,0.81,0.88,2009-11
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2009,12,0.9,0.96,0.92,0.93,2009-12
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2010,1,0.54,0.67,0.54,0.67,2010-01
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2010,2,0.66,0.64,0.78,0.62,2010-02
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2010,3,0.71,0.77,0.81,0.97,2010-03
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2010,4,0.74,0.82,0.84,0.93,2010-04
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2010,5,0.8,0.88,1.04,1.07,2010-05
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2010,6,0.81,0.81,0.87,0.46,2010-06
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2010,7,0.87,0.88,1.24,1.26,2010-07
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2010,8,0.9,0.9,1.08,1.06,2010-08
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2010,9,0.9,0.91,0.94,1.01,2010-09
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2010,10,0.92,0.93,1.05,1.13,2010-10
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2010,11,0.91,0.91,0.81,0.66,2010-11
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2010,12,0.91,0.9,0.84,0.73,2010-12
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2011,1,0.54,0.78,0.54,0.78,2011-01
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2011,2,0.6,0.73,0.66,0.59,2011-02
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2011,3,0.67,0.83,0.81,0.99,2011-03
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2011,4,0.71,0.79,0.83,0.67,2011-04
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2011,5,0.77,0.78,1.01,0.71,2011-05
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2011,6,0.77,0.75,0.77,0.63,2011-06
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2011,7,0.83,0.9,1.21,1.98,2011-07
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2011,8,0.84,0.98,0.92,1.43,2011-08
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2011,9,0.85,0.95,0.87,1.03,2011-09
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2011,10,0.87,0.95,1.05,0.86,2011-10
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2011,11,0.85,0.91,0.71,0.51,2011-11
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2011,12,0.85,0.88,0.76,0.54,2011-12
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2012,1,0.65,0.85,0.65,0.85,2012-01
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2012,2,0.59,0.69,0.54,0.51,2012-02
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2012,3,0.69,0.8,0.88,0.99,2012-03
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2012,4,0.72,0.85,0.81,1,2012-04
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2012,5,0.73,0.86,0.79,0.86,2012-05
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2012,6,0.72,0.93,0.69,1.26,2012-06
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2012,7,0.8,0.92,1.29,0.84,2012-07
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2012,8,0.84,0.96,1.07,1.2,2012-08
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2012,9,0.84,0.93,0.89,0.71,2012-09
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2012,10,0.86,0.94,1.03,1.08,2012-10
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2012,11,0.84,0.91,0.62,0.42,2012-11
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2012,12,0.84,0.89,0.67,0.71,2012-12
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2013,1,0.84,0.96,0.84,0.96,2013-01
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2013,2,0.84,0.96,0.84,0.95,2013-02
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2013,3,0.84,0.84,0.84,0.71,2013-03
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2013,4,0.84,0.75,0.84,0.41,2013-04
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2013,5,0.84,0.82,0.84,1.1,2013-05
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2013,6,0.84,0.98,0.84,1.7,2013-06
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2013,7,0.84,0.97,0.84,0.91,2013-07
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2013,8,0.84,0.98,0.84,0.99,2013-08
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2013,9,0.84,1,0.84,1.15,2013-09
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2013,10,0.84,0.98,0.84,0.82,2013-10
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2013,11,0.84,0.99,0.84,0.97,2013-11
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2013,12,0.84,0.99,0.84,1.02,2013-12
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2014,1,0.86,1.09,0.86,1.09,2014-01
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2014,2,0.75,0.62,0.64,0.52,2014-02
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2014,3,0.75,0.54,0.76,0.33,2014-03
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2014,4,0.77,0.62,0.81,0.82,2014-04
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2014,5,0.78,0.68,0.84,1.03,2014-05
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2014,6,0.84,0.84,1.14,1.56,2014-06
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2014,7,0.88,0.92,1.08,0.96,2014-07
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2014,8,0.9,0.92,1.08,0.94,2014-08
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2014,9,0.91,0.92,0.93,0.88,2014-09
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2014,10,0.91,0.89,0.93,0.66,2014-10
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2014,11,0.88,0.88,0.6,0.76,2014-11
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2014,12,0.87,0.98,0.72,1.7,2014-12
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2015,1,0,0.51,0,0.51,2015-01
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2015,2,0,0.5,0,0.49,2015-02
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2015,3,0,0.63,0,0.83,2015-03
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2015,4,0,0.72,0,0.99,2015-04
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2015,5,0,0.83,0,1.22,2015-05
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2015,6,0,0.86,0,0.91,2015-06
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2015,7,0,0.93,0,1.31,2015-07
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2015,8,0,0.96,0,0.95,2015-08
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2015,9,0,0.96,0,1.18,2015-09
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2015,10,0,0.93,0,0.72,2015-10
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2015,11,0,0.93,0,0.95,2015-11
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2015,12,0,0.95,0,1.16,2015-12
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2016,1,0.98,0.88,0.98,0.88,2016-01
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2016,2,0.98,0.98,0.98,0.58,2016-02
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2016,3,0.98,0.89,0.98,1.2,2016-03
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2016,4,0.98,0.96,0.98,1.13,2016-04
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2016,5,0.98,1.02,0.98,1.21,2016-05
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2016,6,0.98,1.02,0.98,1.02,2016-06
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2016,7,0.98,1.07,0.98,1.4,2016-07
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2016,8,0.98,1.03,0.98,0.75,2016-08
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2016,9,0.98,1.03,0.98,0.91,2016-09
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2016,10,0.98,1.06,0.98,1.36,2016-10
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2016,11,0.98,1.08,0.98,1.29,2016-11
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2016,12,0.98,1.07,0.98,0.97,2016-12
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2017,1,1.01,1.32,1.01,1.32,2017-01
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2017,2,1.01,1.13,1.01,1,2017-02
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2017,3,1.02,1.23,1.02,1,2017-03
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2017,4,1.02,0.98,1.02,1.16,2017-04
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2017,5,1.02,0.97,1.01,0.99,2017-05
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2017,6,1.02,0.88,1.01,0.69,2017-06
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2017,7,1.02,0.88,1.01,0.93,2017-07
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2017,8,1.02,0.97,1.02,1.4,2017-08
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2017,9,1.02,0.97,1.02,1.49,2017-09
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2017,10,1.02,0.97,1.02,1.16,2017-10
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2017,11,1.02,1.01,1.02,0.72,2017-11
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2017,12,1.02,0.99,1.02,0.8,2017-12
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2018,1,0.94,0.46,0.94,0.46,2018-01
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2018,2,0.94,0.57,0.94,0.69,2018-02
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2018,3,0.94,0.71,0.94,1,2018-03
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2018,4,0.94,0.76,0.94,0.89,2018-04
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2018,5,0.94,0.96,0.94,1.68,2018-05
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2018,6,0.94,0.98,0.94,1.07,2018-06
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2018,7,0.94,1.01,0.94,1.14,2018-07
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2018,8,0.94,1.03,0.94,1.01,2018-08
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2018,9,0.94,1.02,0.94,0.94,2018-09
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2018,10,0.94,1.03,0.94,1.11,2018-10
74039,0,Bridges and Tunnels,Collisions with Injury Rate,All customer collisions with injuries on B&T property.  The rate is collisions with injuries per million vehicles.,Safety Indicators,M,D,-,2,2018,11,0.94,1.01,0.94,0.82,2018-11
